year,team,shirt_number,position,player,birth_date,caps,goals,club,club_country,league_country,iffhs_ranking_year,iffhs_league_rank,clubelo_name,clubelo_rating,clubelo_division_level,clubelo_date
2010,North Korea,8,DF,Ji Yun-nam,1976-11-20,23,,April 25,North Korea,North Korea,2013,,,,,
2010,North Korea,9,FW,Jong Tae-se,1984-03-02,20,,Kawasaki Frontale,Japan,Japan,2013,30.0,,,,
2010,North Korea,10,FW,Hong Yong-jo,1982-05-22,40,,Rostov,Russia,Russia,2013,8.0,Rostov,1467.5,1.0,2010-01-01
2010,North Korea,11,MF,Mun In-guk,1978-09-29,42,,April 25,North Korea,North Korea,2013,,,,,
2010,North Korea,12,FW,Choe Kum-chol,1987-02-09,16,,April 25,North Korea,North Korea,2013,,,,,
2010,North Korea,13,DF,Pak Chol-jin,1985-09-05,34,,Amrokgang,North Korea,North Korea,2013,,,,,
2010,North Korea,14,DF,Pak Nam-Chol,1988-10-03,12,,Amrokgang,North Korea,North Korea,2013,,,,,
2010,North Korea,15,MF,Kim Yong-jun,1983-07-19,52,,Pyongyang City,North Korea,North Korea,2013,,,,,
2010,North Korea,16,DF,Nam Song-chol,1982-05-07,41,,April 25,North Korea,North Korea,2013,,,,,
2010,North Korea,17,MF,An Yong-hak,1978-10-25,24,,Omiya Ardija,Japan,Japan,2013,30.0,,,,
2010,North Korea,18,GK,Kim Myong-gil,1984-10-16,10,,Amrokgang,North Korea,North Korea,2013,,,,,
2010,North Korea,19,MF,Ri Chol-myong,1988-02-18,10,,Pyongyang City,North Korea,North Korea,2013,,,,,
2010,North Korea,20,GK,Kim Myong-won [9],1983-07-15,9,,Amrokgang,North Korea,North Korea,2013,,,,,
2010,North Korea,21,DF,Ri Kwang-hyok,1987-08-17,15,,Kyonggongop,North Korea,North Korea,2013,,,,,
2010,North Korea,22,MF,Kim Kyong-il,1988-12-11,7,,Rimyongsu,North Korea,North Korea,2013,,,,,
2010,North Korea,23,MF,Jong Il-gwan,1992-10-30,3,,Rimyongsu,North Korea,North Korea,2013,,,,,
2010,Portugal,1,GK,Eduardo,1982-09-19,15,,Braga,Portugal,Portugal,2013,18.0,Braga,1664.3,1.0,2010-01-01
2010,Portugal,2,DF,Bruno Alves,1981-11-27,31,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Portugal,3,DF,Paulo Ferreira,1979-01-18,61,,Chelsea,England,England,2013,2.0,Chelsea,1945.5,1.0,2010-01-01
2010,Portugal,4,DF,Rolando,1985-08-31,8,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Portugal,5,MF,Duda,1980-06-27,16,,Málaga,Spain,Spain,2013,1.0,Malaga,1669.8,1.0,2010-01-01
2010,Portugal,6,DF,Ricardo Carvalho,1978-05-18,63,,Chelsea,England,England,2013,2.0,Chelsea,1945.5,1.0,2010-01-01
2010,Portugal,7,FW,Cristiano Ronaldo,1985-02-05,72,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Portugal,8,MF,Pedro Mendes,1979-02-26,8,,Sporting CP,Portugal,Portugal,2013,18.0,Sporting,1678.2,1.0,2010-01-01
2010,Portugal,9,FW,Liédson,1977-12-17,10,,Sporting CP,Portugal,Portugal,2013,18.0,Sporting,1678.2,1.0,2010-01-01
2010,Portugal,10,MF,Danny,1983-08-07,11,,Zenit Saint Petersburg,Russia,Russia,2013,8.0,Zenit,1680.7,1.0,2010-01-01
2010,Portugal,11,MF,Simão,1979-10-31,81,,Atlético Madrid,Spain,Spain,2013,1.0,Atletico,1736.6,1.0,2010-01-01
2010,Portugal,12,GK,Beto,1982-05-01,1,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Portugal,13,DF,Miguel,1980-01-04,57,,Valencia,Spain,Spain,2013,1.0,Valencia,1815.0,1.0,2010-01-01
2010,Portugal,14,MF,Miguel Veloso,1986-05-11,12,,Sporting CP,Portugal,Portugal,2013,18.0,Sporting,1678.2,1.0,2010-01-01
2010,Portugal,15,DF,Pepe,1983-02-26,25,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Portugal,16,MF,Raul Meireles,1983-03-17,34,,Porto,Portugal,Portugal,2013,18.0,Porto,1832.5,1.0,2010-01-01
2010,Portugal,17,MF,Rúben Amorim [10],1985-01-27,0,,Benfica,Portugal,Portugal,2013,18.0,Benfica,1758.2,1.0,2010-01-01
2010,Portugal,18,FW,Hugo Almeida,1984-05-23,26,,Werder Bremen,Germany,Germany,2013,3.0,Werder,1783.2,1.0,2010-01-01
2010,Portugal,19,MF,Tiago,1981-05-02,51,,Atlético Madrid,Spain,Spain,2013,1.0,Atletico,1736.6,1.0,2010-01-01
2010,Portugal,20,MF,Deco,1977-08-27,74,,Chelsea,England,England,2013,2.0,Chelsea,1945.5,1.0,2010-01-01
2010,Portugal,21,DF,Ricardo Costa,1981-05-16,8,,Lille,France,France,2013,7.0,Lille,1781.4,1.0,2010-01-01
2010,Portugal,22,GK,Daniel Fernandes,1983-09-25,2,,Iraklis,Greece,Greece,2013,22.0,Iraklis,1338.5,1.0,2010-01-01
2010,Portugal,23,DF,Fábio Coentrão,1988-03-11,4,,Benfica,Portugal,Portugal,2013,18.0,Benfica,1758.2,1.0,2010-01-01
2010,Chile,1,GK,Claudio Bravo,1983-04-13,41,,Real Sociedad,Spain,Spain,2013,1.0,Sociedad,1656.9,2.0,2010-01-01
2010,Chile,2,DF,Ismael Fuentes,1981-08-04,25,,Universidad Católica,Chile,Chile,2013,19.0,,,,
2010,Chile,3,DF,Waldo Ponce,1982-12-04,23,,Universidad Católica,Chile,Chile,2013,19.0,,,,
2010,Chile,4,MF,Mauricio Isla,1988-06-12,10,,Udinese,Italy,Italy,2013,4.0,Udinese,1680.7,1.0,2010-01-01
2010,Chile,5,DF,Pablo Contreras,1978-09-11,49,,PAOK,Greece,Greece,2013,22.0,PAOK,1523.3,1.0,2010-01-01
2010,Chile,6,MF,Carlos Carmona,1987-02-21,18,,Reggina,Italy,Italy,2013,4.0,Reggina,1502.9,2.0,2010-01-01
2010,Chile,7,FW,Alexis Sánchez,1988-12-19,26,,Udinese,Italy,Italy,2013,4.0,Udinese,1680.7,1.0,2010-01-01
2010,Chile,8,MF,Arturo Vidal,1987-05-22,21,,Bayer Leverkusen,Germany,Germany,2013,3.0,Leverkusen,1760.7,1.0,2010-01-01
2010,Chile,9,FW,Humberto Suazo,1981-05-10,41,,Zaragoza,Spain,Spain,2013,1.0,Zaragoza,1669.3,1.0,2010-01-01
2010,Chile,10,MF,Jorge Valdivia,1983-10-19,36,,Al Ain,United Arab Emirates,United Arab Emirates,2013,71.0,,,,
2010,Chile,11,FW,Mark González,1984-07-10,38,,CSKA Moscow,Russia,Russia,2013,8.0,CSKA Moskva,1701.8,1.0,2010-01-01
2010,Chile,12,GK,Miguel Pinto,1983-07-04,13,,Universidad de Chile,Chile,Chile,2013,19.0,,,,
2010,Chile,13,MF,Marco Estrada,1983-05-28,20,,Universidad de Chile,Chile,Chile,2013,19.0,,,,
2010,Chile,14,MF,Matías Fernández,1986-05-15,35,,Sporting CP,Portugal,Portugal,2013,18.0,Sporting,1678.2,1.0,2010-01-01
2010,Chile,15,FW,Jean Beausejour,1984-06-01,23,,América,Mexico,Mexico,2013,15.0,,,,
2010,Chile,16,FW,Fabián Orellana,1986-01-27,13,,Xerez,Spain,Spain,2013,1.0,Xerez,1592.7,1.0,2010-01-01
2010,Chile,17,DF,Gary Medel,1987-08-03,23,,Boca Juniors,Argentina,Argentina,2013,6.0,,,,
2010,Chile,18,DF,Gonzalo Jara,1985-08-29,31,,West Bromwich Albion,England,England,2013,2.0,West Brom,1601.5,2.0,2010-01-01
2010,Chile,19,MF,Gonzalo Fierro,1983-03-21,16,,Flamengo,Brazil,Brazil,2013,5.0,,,,
2010,Chile,20,MF,Rodrigo Millar,1981-11-03,19,,Colo-Colo,Chile,Chile,2013,19.0,,,,
2010,Chile,21,MF,Rodrigo Tello,1979-10-14,32,,Beşiktaş,Turkey,Turkey,2013,13.0,Besiktas,1646.6,1.0,2010-01-01
2010,Chile,22,FW,Esteban Paredes,1980-08-01,12,,Colo-Colo,Chile,Chile,2013,19.0,,,,
2010,Chile,23,GK,Luis Marín,1983-05-18,2,,Unión Española,Chile,Chile,2013,19.0,,,,
2010,Honduras,1,GK,Ricardo Canales,1982-05-30,2,,Motagua,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,2,DF,Osman Chávez,1984-07-29,26,,Platense,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,3,DF,Maynor Figueroa,1983-05-02,66,,Wigan Athletic,England,England,2013,2.0,Wigan,1618.3,1.0,2010-01-01
2010,Honduras,4,DF,Johnny Palacios,1986-12-20,4,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,5,DF,Víctor Bernárdez,1982-05-24,40,,Anderlecht,Belgium,Belgium,2013,16.0,Anderlecht,1694.0,1.0,2010-01-01
2010,Honduras,6,MF,Hendry Thomas,1985-02-23,39,,Wigan Athletic,England,England,2013,2.0,Wigan,1618.3,1.0,2010-01-01
2010,Honduras,7,MF,Ramón Núñez,1984-11-14,16,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,8,MF,Wilson Palacios,1984-07-29,69,,Tottenham Hotspur,England,England,2013,2.0,Tottenham,1765.2,1.0,2010-01-01
2010,Honduras,9,FW,Carlos Pavón,1973-10-19,98,,Real España,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,10,FW,Jerry Palacios [11],1982-11-01,11,,Hangzhou Greentown,China,China,2013,34.0,,,,
2010,Honduras,11,FW,David Suazo,1979-11-05,50,,Genoa,Italy,Italy,2013,4.0,Genoa,1695.7,1.0,2010-01-01
2010,Honduras,12,FW,Georgie Welcome,1985-03-09,11,,Motagua,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,13,FW,Roger Espinoza,1986-10-25,10,,Kansas City Wizards,United States,United States,2013,49.0,,,,
2010,Honduras,14,DF,Boniek García,1984-09-04,42,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,15,FW,Walter Martínez,1982-03-29,34,,Marathón,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,16,DF,Mauricio Sabillón,1978-11-11,25,,Hangzhou Greentown,China,China,2013,34.0,,,,
2010,Honduras,17,MF,Édgar Álvarez,1980-01-09,46,,Bari,Italy,Italy,2013,4.0,Bari,1634.5,1.0,2010-01-01
2010,Honduras,18,GK,Noel Valladares,1977-05-03,71,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,19,MF,Danilo Turcios,1978-05-08,82,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,20,MF,Amado Guevara,1976-05-02,133,,Motagua,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,21,DF,Emilio Izaguirre,1986-05-10,39,,Motagua,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,22,GK,Donis Escober,1981-02-03,11,,Olimpia,Honduras,Honduras,2013,82.0,,,,
2010,Honduras,23,DF,Sergio Mendoza,1981-05-23,46,,Motagua,Honduras,Honduras,2013,82.0,,,,
2010,Spain,1,GK,Iker Casillas,1981-05-20,104,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Spain,2,DF,Raúl Albiol,1985-09-04,23,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Spain,3,DF,Gerard Piqué,1987-02-02,16,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,4,DF,Carlos Marchena,1979-07-31,59,,Valencia,Spain,Spain,2013,1.0,Valencia,1815.0,1.0,2010-01-01
2010,Spain,5,DF,Carles Puyol,1978-04-13,83,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,6,MF,Andrés Iniesta,1984-05-11,43,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,7,FW,David Villa,1981-12-03,58,,Valencia [note 1],Spain,Spain,2013,1.0,,,,
2010,Spain,8,MF,Xavi,1980-01-25,87,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,9,FW,Fernando Torres,1984-03-20,73,,Liverpool,England,England,2013,2.0,Liverpool,1843.9,1.0,2010-01-01
2010,Spain,10,MF,Cesc Fàbregas,1987-05-04,49,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,Spain,11,DF,Joan Capdevila,1978-02-03,46,,Villarreal,Spain,Spain,2013,1.0,Villarreal,1758.8,1.0,2010-01-01
2010,Spain,12,GK,Víctor Valdés,1982-01-14,1,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,13,MF,Juan Mata,1988-04-28,8,,Valencia,Spain,Spain,2013,1.0,Valencia,1815.0,1.0,2010-01-01
2010,Spain,14,MF,Xabi Alonso,1981-11-25,69,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Spain,15,DF,Sergio Ramos,1986-03-30,60,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Spain,16,MF,Sergio Busquets,1988-07-16,13,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,17,DF,Álvaro Arbeloa,1983-01-17,15,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,1902.7,1.0,2010-01-01
2010,Spain,18,FW,Pedro,1987-07-28,3,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Spain,19,FW,Fernando Llorente,1985-02-26,7,,Athletic Bilbao,Spain,Spain,2013,1.0,Bilbao,1716.8,1.0,2010-01-01
2010,Spain,20,MF,Javi Martínez,1988-09-02,2,,Athletic Bilbao,Spain,Spain,2013,1.0,Bilbao,1716.8,1.0,2010-01-01
2010,Spain,21,MF,David Silva,1986-01-08,36,,Valencia,Spain,Spain,2013,1.0,Valencia,1815.0,1.0,2010-01-01
2010,Spain,22,MF,Jesús Navas,1985-11-21,6,,Sevilla,Spain,Spain,2013,1.0,Sevilla,1833.8,1.0,2010-01-01
2010,Spain,23,GK,Pepe Reina,1982-08-31,20,,Liverpool,England,England,2013,2.0,Liverpool,1843.9,1.0,2010-01-01
2010,Switzerland,1,GK,Diego Benaglio,1983-09-08,27,,VfL Wolfsburg,Germany,Germany,2013,3.0,Wolfsburg,1748.9,1.0,2010-01-01
2010,Switzerland,2,DF,Stephan Lichtsteiner,1984-01-16,28,,Lazio,Italy,Italy,2013,4.0,Lazio,1602.0,1.0,2010-01-01
2010,Switzerland,3,DF,Ludovic Magnin,1979-04-20,62,,Zürich,Switzerland,Switzerland,2013,12.0,Zuerich,1535.4,1.0,2010-01-01
2010,Switzerland,4,DF,Philippe Senderos,1985-02-14,40,,Everton,England,England,2013,2.0,Everton,1706.4,1.0,2010-01-01
2010,Switzerland,5,DF,Steve von Bergen,1983-06-10,11,,Hertha BSC,Germany,Germany,2013,3.0,Hertha,1582.8,1.0,2010-01-01
2010,Switzerland,6,MF,Benjamin Huggel,1977-07-07,38,,Basel,Switzerland,Switzerland,2013,12.0,Basel,1585.1,1.0,2010-01-01
2010,Switzerland,7,MF,Tranquillo Barnetta,1985-05-22,52,,Bayer Leverkusen,Germany,Germany,2013,3.0,Leverkusen,1760.7,1.0,2010-01-01
2010,Switzerland,8,MF,Gökhan Inler,1984-06-27,36,,Udinese,Italy,Italy,2013,4.0,Udinese,1680.7,1.0,2010-01-01
2010,Switzerland,9,FW,Alexander Frei,1979-07-15,75,,Basel,Switzerland,Switzerland,2013,12.0,Basel,1585.1,1.0,2010-01-01
2010,Switzerland,10,FW,Blaise Nkufo,1975-05-25,31,,Twente,Netherlands,Netherlands,2013,21.0,Twente,1673.0,1.0,2010-01-01
2010,Switzerland,11,MF,Valon Behrami,1985-04-19,27,,West Ham United,England,England,2013,2.0,West Ham,1653.1,1.0,2010-01-01
2010,Switzerland,12,GK,Marco Wölfli,1982-08-22,5,,Young Boys,Switzerland,Switzerland,2013,12.0,Young Boys,1603.1,1.0,2010-01-01
2010,Switzerland,13,DF,Stéphane Grichting,1979-03-30,35,,Auxerre,France,France,2013,7.0,Auxerre,1703.0,1.0,2010-01-01
2010,Switzerland,14,MF,Marco Padalino,1983-12-08,8,,Sampdoria,Italy,Italy,2013,4.0,Sampdoria,1655.3,1.0,2010-01-01
2010,Switzerland,15,MF,Hakan Yakin,1977-02-22,81,,Luzern,Switzerland,Switzerland,2013,12.0,Luzern,1438.9,1.0,2010-01-01
2010,Switzerland,16,MF,Gélson Fernandes,1986-09-02,24,,Saint-Étienne,France,France,2013,7.0,Saint-Etienne,1598.5,1.0,2010-01-01
2010,Switzerland,17,DF,Reto Ziegler,1986-01-16,12,,Sampdoria,Italy,Italy,2013,4.0,Sampdoria,1655.3,1.0,2010-01-01
2010,Switzerland,18,FW,Albert Bunjaku,1983-11-29,3,,1. FC Nürnberg,Germany,Germany,2013,3.0,Nuernberg,1579.4,1.0,2010-01-01
2010,Switzerland,19,FW,Eren Derdiyok,1988-06-12,21,,Bayer Leverkusen,Germany,Germany,2013,3.0,Leverkusen,1760.7,1.0,2010-01-01
2010,Switzerland,20,MF,Pirmin Schwegler,1987-03-09,4,,Eintracht Frankfurt,Germany,Germany,2013,3.0,Frankfurt,1622.1,1.0,2010-01-01
2010,Switzerland,21,GK,Johnny Leoni,1984-06-30,0,,Zürich,Switzerland,Switzerland,2013,12.0,Zuerich,1535.4,1.0,2010-01-01
2010,Switzerland,22,DF,Mario Eggimann,1981-01-24,8,,Hannover 96,Germany,Germany,2013,3.0,Hannover,1617.2,1.0,2010-01-01
2010,Switzerland,23,MF,Xherdan Shaqiri,1991-10-10,3,,Basel,Switzerland,Switzerland,2013,12.0,Basel,1585.1,1.0,2010-01-01
2014,Brazil,1,GK,Jefferson,1983-01-02,9,,Botafogo,Brazil,Brazil,2013,5.0,,,,
2014,Brazil,2,DF,Dani Alves,1983-05-06,75,,Barcelona,Spain,Spain,2013,1.0,Barcelona,2039.1,1.0,2014-01-01
2014,Brazil,3,DF,Thiago Silva,1984-09-22,46,,Paris Saint-Germain,France,France,2013,7.0,Paris SG,1831.0,1.0,2014-01-01
2014,Brazil,4,DF,David Luiz,1987-04-22,36,,Chelsea [7],England,England,2013,2.0,Chelsea,1908.1,1.0,2014-01-01
2014,Brazil,5,MF,Fernandinho,1985-05-04,7,,Manchester City,England,England,2013,2.0,Man City,1941.7,1.0,2014-01-01
2014,Brazil,6,DF,Marcelo,1988-05-12,31,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,2025.2,1.0,2014-01-01
2014,Brazil,7,FW,Hulk,1986-07-25,35,,Zenit Saint Petersburg,Russia,Russia,2013,8.0,Zenit,1743.9,1.0,2014-01-01
2014,Brazil,8,MF,Paulinho,1988-07-25,26,,Tottenham Hotspur,England,England,2013,2.0,Tottenham,1822.9,1.0,2014-01-01
2014,Brazil,9,FW,Fred,1983-10-03,33,,Fluminense,Brazil,Brazil,2013,5.0,,,,
2014,Brazil,10,FW,Neymar,1992-02-05,49,,Barcelona,Spain,Spain,2013,1.0,Barcelona,2039.1,1.0,2014-01-01
2014,Brazil,11,MF,Oscar,1991-09-09,31,,Chelsea,England,England,2013,2.0,Chelsea,1908.1,1.0,2014-01-01
2014,Brazil,12,GK,Júlio César,1979-09-03,80,,Toronto FC [8],Canada,United States,2013,49.0,,,,
2014,Brazil,13,DF,Dante,1983-10-18,12,,Bayern Munich,Germany,Germany,2013,3.0,Bayern,2080.9,1.0,2014-01-01
2014,Brazil,14,DF,Maxwell,1981-08-27,9,,Paris Saint-Germain,France,France,2013,7.0,Paris SG,1831.0,1.0,2014-01-01
2014,Brazil,15,DF,Henrique,1986-10-14,5,,Napoli,Italy,Italy,2013,4.0,Napoli,1784.5,1.0,2014-01-01
2014,Brazil,16,MF,Ramires,1987-03-24,42,,Chelsea,England,England,2013,2.0,Chelsea,1908.1,1.0,2014-01-01
2014,Brazil,17,MF,Luiz Gustavo,1987-07-23,19,,VfL Wolfsburg,Germany,Germany,2013,3.0,Wolfsburg,1760.0,1.0,2014-01-01
2014,Brazil,18,MF,Hernanes,1985-05-29,24,,Inter Milan,Italy,Italy,2013,4.0,Inter,1679.9,1.0,2014-01-01
2014,Brazil,19,MF,Willian,1988-08-09,7,,Chelsea,England,England,2013,2.0,Chelsea,1908.1,1.0,2014-01-01
2014,Brazil,20,FW,Bernard,1992-09-08,11,,Shakhtar Donetsk,Ukraine,Ukraine,2013,14.0,Shakhtar,1801.1,1.0,2014-01-01
2014,Brazil,21,FW,Jô,1987-03-20,17,,Atlético Mineiro,Brazil,Brazil,2013,5.0,,,,
2014,Brazil,22,GK,Victor,1983-01-21,6,,Atlético Mineiro,Brazil,Brazil,2013,5.0,,,,
2014,Brazil,23,DF,Maicon,1981-07-26,72,,Roma,Italy,Italy,2013,4.0,Roma,1754.0,1.0,2014-01-01
2014,Cameroon,1,GK,Loïc Feudjou,1992-04-14,2,,Coton Sport,Cameroon,Cameroon,2013,70.0,,,,
2014,Cameroon,2,DF,Benoît Assou-Ekotto,1984-03-24,22,,Queens Park Rangers [10],England,England,2013,2.0,,,,
2014,Cameroon,3,DF,Nicolas Nkoulou,1990-03-27,48,,Marseille,France,France,2013,7.0,Marseille,1621.2,1.0,2014-01-01
2014,Cameroon,4,DF,Cédric Djeugoué,1992-08-28,3,,Coton Sport,Cameroon,Cameroon,2013,70.0,,,,
2014,Cameroon,5,DF,Dany Nounkeu,1986-04-11,16,,Beşiktaş [11],Turkey,Turkey,2013,13.0,Besiktas,1612.7,1.0,2014-01-01
2014,Cameroon,6,MF,Alex Song,1987-09-09,47,,Barcelona,Spain,Spain,2013,1.0,Barcelona,2039.1,1.0,2014-01-01
2014,Cameroon,7,MF,Landry N'Guémo,1985-11-28,40,,Bordeaux,France,France,2013,7.0,Bordeaux,1614.6,1.0,2014-01-01
2014,Cameroon,8,FW,Benjamin Moukandjo,1988-11-12,17,,Nancy,France,France,2013,7.0,Nancy,1514.0,2.0,2014-01-01
2014,Cameroon,9,FW,Samuel Eto'o,1981-03-10,117,,Chelsea [12],England,England,2013,2.0,Chelsea,1908.1,1.0,2014-01-01
2014,Cameroon,10,FW,Vincent Aboubakar,1992-01-22,24,,Lorient,France,France,2013,7.0,Lorient,1592.5,1.0,2014-01-01
2014,Cameroon,11,MF,Jean Makoun,1983-05-29,66,,Rennes,France,France,2013,7.0,Rennes,1538.2,1.0,2014-01-01
2014,Cameroon,12,DF,Henri Bedimo,1984-06-04,31,,Lyon,France,France,2013,7.0,Lyon,1650.7,1.0,2014-01-01
2014,Cameroon,13,FW,Eric Maxim Choupo-Moting,1989-03-23,26,,Mainz 05,Germany,Germany,2013,3.0,Mainz,1694.1,1.0,2014-01-01
2014,Cameroon,14,DF,Aurélien Chedjou,1985-06-20,31,,Galatasaray,Turkey,Turkey,2013,13.0,Galatasaray,1713.5,1.0,2014-01-01
2014,Cameroon,15,FW,Pierre Webó,1982-01-20,56,,Fenerbahçe,Turkey,Turkey,2013,13.0,Fenerbahce,1711.9,1.0,2014-01-01
2014,Cameroon,16,GK,Charles Itandje,1982-11-02,9,,Konyaspor [13],Turkey,Turkey,2013,13.0,Konyaspor,1412.0,1.0,2014-01-01
2014,Cameroon,17,MF,Stéphane Mbia,1986-05-20,49,,Sevilla [14],Spain,Spain,2013,1.0,Sevilla,1762.6,1.0,2014-01-01
2014,Cameroon,18,MF,Eyong Enoh,1986-03-23,38,,Antalyaspor,Turkey,Turkey,2013,13.0,Antalyaspor,1478.9,1.0,2014-01-01
2014,Cameroon,19,FW,Fabrice Olinga,1996-05-12,8,,Zulte Waregem [15],Belgium,Belgium,2013,16.0,Zulte Waregem,1518.7,1.0,2014-01-01
2014,Cameroon,20,MF,Edgar Salli,1992-08-17,9,,Lens [16],France,France,2013,7.0,,,,
2014,Cameroon,21,MF,Joël Matip,1991-08-08,23,,Schalke 04,Germany,Germany,2013,3.0,Schalke,1786.5,1.0,2014-01-01
2014,Cameroon,22,DF,Allan Nyom,1988-05-10,10,,Granada [17],Spain,Spain,2013,1.0,Granada,1664.7,1.0,2014-01-01
2014,Cameroon,23,GK,Sammy Ndjock,1990-02-25,3,,Fethiyespor [18],Turkey,Turkey,2013,13.0,,,,
2014,Croatia,1,GK,Stipe Pletikosa,1979-01-08,111,,Rostov,Russia,Russia,2013,8.0,Rostov,1528.9,1.0,2014-01-01
2014,Croatia,2,DF,Šime Vrsaljko,1992-01-10,7,,Genoa,Italy,Italy,2013,4.0,Genoa,1576.5,1.0,2014-01-01
2014,Croatia,3,DF,Danijel Pranjić,1981-12-02,50,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1499.8,1.0,2014-01-01
2014,Croatia,4,MF,Ivan Perišić,1989-02-02,29,,VfL Wolfsburg,Germany,Germany,2013,3.0,Wolfsburg,1760.0,1.0,2014-01-01
2014,Croatia,5,DF,Vedran Ćorluka,1986-02-05,72,,Lokomotiv Moscow,Russia,Russia,2013,8.0,Lok Moskva,1676.0,1.0,2014-01-01
2014,Croatia,6,DF,Dejan Lovren,1989-07-05,25,,Southampton,England,England,2013,2.0,Southampton,1696.2,1.0,2014-01-01
2014,Croatia,7,MF,Ivan Rakitić,1988-03-10,62,,Sevilla [21],Spain,Spain,2013,1.0,Sevilla,1762.6,1.0,2014-01-01
2014,Croatia,8,MF,Ognjen Vukojević,1983-12-20,55,,Dynamo Kyiv,Ukraine,Ukraine,2013,14.0,Dynamo Kyiv,1666.5,1.0,2014-01-01
2014,Croatia,9,FW,Nikica Jelavić,1985-08-27,33,,Hull City,England,England,2013,2.0,Hull,1595.9,1.0,2014-01-01
2014,Croatia,10,MF,Luka Modrić,1985-09-09,75,,Real Madrid,Spain,Spain,2013,1.0,Real Madrid,2025.2,1.0,2014-01-01
2014,Croatia,11,DF,Darijo Srna,1982-05-01,112,,Shakhtar Donetsk,Ukraine,Ukraine,2013,14.0,Shakhtar,1801.1,1.0,2014-01-01
2014,Croatia,12,GK,Oliver Zelenika,1993-05-14,0,,Lokomotiva [22],Croatia,Croatia,2013,32.0,,,,
2014,Croatia,13,DF,Gordon Schildenfeld,1985-03-18,21,,Panathinaikos [23],Greece,Greece,2013,22.0,Panathinaikos,1499.8,1.0,2014-01-01
2014,Croatia,14,MF,Marcelo Brozović,1992-11-16,1,,Dinamo Zagreb,Croatia,Croatia,2013,32.0,Dinamo Zagreb,1488.1,1.0,2014-01-01
2014,Croatia,15,MF,Milan Badelj,1989-02-25,9,,Hamburger SV,Germany,Germany,2013,3.0,Hamburg,1674.2,1.0,2014-01-01
2014,Croatia,16,FW,Ante Rebić,1993-09-21,5,,Fiorentina,Italy,Italy,2013,4.0,Fiorentina,1757.6,1.0,2014-01-01
2014,Croatia,17,FW,Mario Mandžukić,1986-05-21,50,,Bayern Munich [24],Germany,Germany,2013,3.0,,,,
2014,Croatia,18,FW,Ivica Olić,1979-09-14,92,,VfL Wolfsburg,Germany,Germany,2013,3.0,Wolfsburg,1760.0,1.0,2014-01-01
2014,Croatia,19,MF,Sammir,1987-04-23,6,,Getafe,Spain,Spain,2013,1.0,Getafe,1688.4,1.0,2014-01-01
2014,Croatia,20,MF,Mateo Kovačić,1994-05-06,10,,Inter Milan,Italy,Italy,2013,4.0,Inter,1679.9,1.0,2014-01-01
